run subrun event vtxid Enu_1e1p Eta PT_1e1p AlphaT_1e1p SphB_1e1p PzEnu_1e1p ChargeNearTrunk Q0_1e1p Q3_1e1p Thetas Phis PTRat_1e1p Proton_ThetaReco Proton_PhiReco MinShrFrac MaxShrFrac BjXB_1e1p BjYB_1e1p Proton_Edep Electron_Edep Lepton_ThetaReco Lepton_PhiReco OpenAng Xreco Yreco Zreco MPIDY_muon MPIDY_proton MPIDY_eminus shower_fraction Shower_Consistency EnuQE_lepton EnuQE_proton EnuTrue ccnc scedr POTweight GenieWeight LEEweight label newpi0flag datarun filetag nBDTs tvweight0 sigprob0 tvweight1 sigprob1 tvweight2 sigprob2 tvweight3 sigprob3 tvweight4 sigprob4 tvweight5 sigprob5 tvweight6 sigprob6 tvweight7 sigprob7 tvweight8 sigprob8 tvweight9 sigprob9 tvweight10 sigprob10 tvweight11 sigprob11 tvweight12 sigprob12 tvweight13 sigprob13 tvweight14 sigprob14 tvweight15 sigprob15 tvweight16 sigprob16 tvweight17 sigprob17 tvweight18 sigprob18 tvweight19 sigprob19 sigprobavg sigprobmedian sigprobmax sigprob bdtweight
7645 138 6911 0 307.3992107228125 0.39088863134384155 266.531898470852 1.11045589194737 409.61604619603105 -281.30276431137264 185.78562927246094 102.34096791992192 226.50770194347112 3.6692750453948975 3.9927775859832764 0.9952408932353758 0.9919440150260925 -2.303671360015869 0.949999988079071 1.0 2.727416923476218 0.21235043752913552 73.73336791992188 202.36154280289063 2.67733097076416 1.6891063451766968 2.3982315063476562 25.900999069213867 36.58325958251953 99.05000305175781 0.17649030685424805 0.8885540962219238 0.7467359304428101 3.6986616401394543 0.5907819232372719 400.71723333248906 632.1975084342989 1602.4462890625 0 60.83913803100586 2.02822755217e+21 1.0 0.0 numu_pi0 False 1 ccpi0 20.0 2.0 0.00075407437 2.0 0.0006134728 0.0 0.0006800142 0.0 0.00047297933 2.0 0.00057447725 0.0 0.00051830674 0.0 0.00094926276 2.0 0.00045126976 2.0 0.00079357973 0.0 0.00066630816 0.0 0.00066583714 2.0 0.00054536574 2.0 0.0007747606 0.0 0.00065973 2.0 0.0017565573 2.0 0.0005060985 0.0 0.0005303923 2.0 0.000622224 2.0 0.0004929023 0.0 0.0006144681 0.0007167983911296523 0.000613472773693502 0.0017565572634339333 0.000613472773693502 1
7628 133 6665 0 425.0858476576953 0.053785018622875214 573.167771497264 2.2701438911953415 1258.7298113712827 141.9140871925784 220.9969482421875 238.4032237792968 404.61140140196653 1.336487054824829 0.9782876372337341 0.7109215349919126 0.925751268863678 1.6483439207077026 0.43478259444236755 0.43478259444236755 0.11834339559756103 0.4115227223584266 209.79562377929688 183.98592387839844 0.4107358455657959 0.6700562834739685 0.7533466815948486 166.7901153564453 84.44670867919922 200.75 0.022009775042533875 0.4148275554180145 0.5881304144859314 1.0178286869355417 1.51903242634664 216.79627790141743 1192.5269508969873 1219.02197265625 0 2.2652668952941895 2.02822755217e+21 1.0 0.0 numu_pi0 False 1 ccpi0 20.0 0.0 0.0035383014 2.0 0.0037044713 2.0 0.002108887 2.0 0.0020297735 2.0 0.001836838 2.0 0.003396738 0.0 0.0032302558 2.0 0.002633631 0.0 0.0037294552 0.0 0.004271545 2.0 0.004629061 2.0 0.0021663764 2.0 0.0038776316 2.0 0.0021662011 0.0 0.0052519315 2.0 0.0017118915 0.0 0.0022413651 0.0 0.0034372658 0.0 0.0047869775 0.0 0.00224382 0.0027510455216873775 0.0021663764491677284 0.004629061091691256 0.0021663764491677284 1
7504 16 812 1 153.73684174566398 0.14581841230392456 49.87586127570042 2.422337497348832 138.79252589217361 130.38251568809125 97.06948852539062 89.35316732177743 342.16987705468955 2.84017276763916 1.1932059526443481 0.17290158148519383 0.10321548581123352 -0.018461039289832115 0.8666666746139526 0.9636363387107849 0.4523550520219466 0.587510117388565 60.745567321777344 61.68697442388672 2.736957311630249 1.174744963645935 2.6891896724700928 186.50120544433594 101.79497528076172 197.3000030517578 0.0 0.0 0.0 1.98241576350127 0.6416103592336028 104.55603884915773 217.56374115875866 1178.3533935546875 0 99997.0 2.02822755217e+21 1.0 0.0 numu_pipm False 1 ccpi0 20.0 0.0 0.0067337984 2.0 0.009439379 0.0 0.005710029 2.0 0.004436639 2.0 0.003699566 2.0 0.0036537554 2.0 0.0050847316 2.0 0.00366315 2.0 0.0050364914 2.0 0.0067487787 2.0 0.0026347684 0.0 0.0035547009 2.0 0.0044716178 2.0 0.003019762 2.0 0.0075923163 2.0 0.0027788852 2.0 0.0060970997 2.0 0.0053358385 2.0 0.00848503 2.0 0.004580667 0.005103439777432119 0.0045806667767465115 0.0094393789768219 0.0045806667767465115 1
7388 17 870 0 1502.6643679142967 0.13070116937160492 478.41738633295193 2.781648605621334 1642.513580937088 150.58216748080758 613.3919677734375 166.92373159179715 776.0877429153724 0.9501342177391052 3.9252896308898926 0.27797552601378644 0.4692382216453552 -1.7466424703598022 0.0 0.3199999928474426 1.6358268927554902 0.21644911552259188 138.31613159179688 1333.0439363225 0.48089599609375 2.17864727973938 0.8729230165481567 73.79058837890625 71.22427368164062 812.0499877929688 0.07136065512895584 0.3109743297100067 0.9036518931388855 1.1626181759301129 0.5193459519494357 1633.7189996261143 412.31801229414515 4181.47607421875 0 1.3115835189819336 2.02822755217e+21 0.9774654635664659 0.0 numu_other False 1 ccpi0 20.0 0.0 0.07734875 0.0 0.104223646 0.0 0.17962277 2.0 0.61529857 0.0 0.13295104 2.0 0.8146421 0.0 0.13677138 2.0 0.2595953 0.0 0.10929804 0.0 0.08684329 0.0 0.086714394 0.0 0.13794835 2.0 0.52383935 0.0 0.13202813 0.0 0.15880598 0.0 0.16690834 2.0 0.36446646 2.0 0.23674037 2.0 0.49998116 0.0 0.14250423 0.4735090413263866 0.499981164932251 0.814642071723938 0.499981164932251 1
7145 8 439 3 398.0898934817773 0.11089131236076355 139.81224236970291 0.3739752589232699 801.5115870876617 -290.11448687903965 117.35758972167969 125.67170980224608 327.4121956910333 3.0315396785736084 3.275343894958496 0.791452936080492 1.064656376838684 -1.579664707183838 0.12626832723617554 0.4610244929790497 2.2769663894449383 0.23121869060295117 97.0641098022461 269.7214836795313 1.9668834209442139 1.6956791877746582 2.9785842895507812 156.86700439453125 75.62953186035156 344.3500061035156 0.0 0.0 0.0 2.6027266835092058 0.6013621196813974 507.86012474908614 1011.6997037222947 2555.447509765625 0 194.61851501464844 2.02822755217e+21 1.0 0.0 numu_other False 1 ccpi0 20.0 2.0 0.0012120312 2.0 0.0010316343 0.0 0.0008580625 2.0 0.00072382385 2.0 0.0007883512 2.0 0.0006133155 2.0 0.00082892383 2.0 0.00068726897 2.0 0.0011419529 2.0 0.0010713296 2.0 0.00090373564 0.0 0.00067303656 2.0 0.0006833652 2.0 0.0010842594 2.0 0.0018660768 2.0 0.00095773325 0.0 0.00056309113 2.0 0.00085141667 2.0 0.00064393564 2.0 0.002593588 0.0010401612962596118 0.0009037356358021498 0.0025935880839824677 0.0009037356358021498 1
7055 690 34520 0 230.90782372400383 0.03808130323886871 289.60349839309856 1.1207819318355388 517.6220060523725 -77.64154880334061 230.1694793701172 113.37964132080083 255.97390012318596 3.439589500427246 2.208479404449463 0.8838550773931898 0.9202777743339539 -0.9265555739402771 0.1599999964237213 0.5714285969734192 1.045172788311605 0.35185025054255337 84.77204132080078 114.83148240320313 2.5193119049072266 -3.1350347995758057 2.446859121322632 154.87001037597656 96.31939697265625 263.1499938964844 0.09099835157394409 0.46765872836112976 0.8875462412834167 1.8621106160586474 1.1645584646344906 186.9278411732438 572.944742753298 1392.06640625 0 59.61333084106445 2.02822755217e+21 1.0 0.0 numu_pi0 False 1 ccpi0 20.0 0.0 0.0026123207 0.0 0.0013548047 0.0 0.0010619522 2.0 0.0010398746 2.0 0.0013058392 0.0 0.002060895 2.0 0.0048077945 2.0 0.0015259606 2.0 0.0025371113 2.0 0.0026872042 2.0 0.0016135882 2.0 0.0012485612 0.0 0.0014484526 2.0 0.001319181 2.0 0.0034689228 0.0 0.0013214382 2.0 0.0012764795 2.0 0.00242495 0.0 0.0019392883 2.0 0.0043431288 0.0022768150621022168 0.0016135881887748837 0.004807794466614723 0.0016135881887748837 1
7055 490 24522 0 143.7835662609472 0.27145928144454956 163.16615060434836 0.8719080642379573 289.9745816825549 190.72356478008996 326.810302734375 110.25324514160158 359.4209861836325 2.9188389778137207 2.3552675247192383 0.438406139156098 0.4570437967777252 2.8637797832489014 0.0 0.9259259104728699 0.2252079177854238 0.7526705607931726 81.64564514160156 30.833621119345704 2.4617950916290283 0.5085121989250183 2.676673650741577 120.29180145263672 -1.8682680130004883 1001.75 0.9537339806556702 0.019880587235093117 0.0025410603266209364 3.621011939645625 0.9881946900541575 63.90056460944928 296.8619052091097 1168.8214111328125 0 267.9329528808594 2.02822755217e+21 1.0 0.0 numu_pipm False 1 ccpi0 20.0 0.0 0.0018031723 0.0 0.0014610091 2.0 0.0011881188 2.0 0.00073159643 2.0 0.0005923375 0.0 0.0012632103 2.0 0.0029652512 0.0 0.0026503557 0.0 0.0010047604 2.0 0.0013474379 2.0 0.0014259245 0.0 0.0010229207 0.0 0.0011760852 0.0 0.0010949951 0.0 0.0051707327 2.0 0.00080685026 2.0 0.00092977606 2.0 0.0021037494 0.0 0.0006506642 2.0 0.0012895167 0.00133805587538518 0.0012388177565298975 0.0029652512166649103 0.0012388177565298975 1
7055 457 22859 0 225.96650881707023 0.28618669509887695 277.7567942785349 0.3559806264743308 1016.1740723676523 24.527973939992677 601.5911254882812 121.0377681518554 234.39518998656075 2.251875877380371 2.8763480186462402 0.7426112801059737 1.0458545684814453 2.424844980239868 0.0 0.8219178318977356 0.31282217664067635 0.3538684268420141 92.43016815185547 102.23204066521484 1.2060213088989258 -0.4515030086040497 2.215999126434326 149.42010498046875 0.7101920247077942 451.25 0.049222491681575775 0.8997714519500732 0.8029005527496338 2.4048622657107095 0.9709361587475894 141.67551883389808 898.6469677694298 572.4542236328125 0 0.6265788078308105 2.02822755217e+21 1.0 0.0 numu_pipm False 1 ccpi0 20.0 0.0 0.015800228 2.0 0.03749827 2.0 0.025912082 0.0 0.0066297003 0.0 0.00790954 2.0 0.033834096 0.0 0.011393627 0.0 0.011269479 2.0 0.080315545 2.0 0.024259442 2.0 0.041207988 2.0 0.05288041 2.0 0.04013387 0.0 0.0075083817 0.0 0.0136050265 2.0 0.028851943 2.0 0.0204156 2.0 0.033432122 0.0 0.017308692 0.0 0.0132337455 0.03806739723817869 0.03383409604430199 0.08031554520130157 0.03383409604430199 1
7055 174 8738 0 408.32034213048826 0.3095884323120117 272.36903277322705 1.8239184294777053 628.9517351220392 -98.40532106061028 383.3719177246094 102.8968227172852 328.97994396796713 2.207263946533203 2.2349319458007812 0.6601412322729285 1.0747904777526855 -2.8922619819641113 0.21212121844291687 0.25913891196250916 1.103818975058895 0.2215962471448508 74.28922271728516 302.72681941320315 1.132473349571228 -0.6573300957679749 1.8638347387313843 155.0401153564453 20.08954620361328 871.1500244140625 0.1049770638346672 0.20092836022377014 0.3204856812953949 1.2418334560153101 1.2756179395783074 410.6354049716921 854.2093913453014 1777.2679443359375 0 14.794573783874512 2.02822755217e+21 1.0 0.0 numu_pipm False 1 ccpi0 20.0 0.0 0.036829848 2.0 0.014840731 0.0 0.023569768 0.0 0.04248361 0.0 0.033917088 0.0 0.02029926 0.0 0.014784165 2.0 0.05970583 2.0 0.07819788 2.0 0.03651864 2.0 0.083297804 2.0 0.056785677 0.0 0.016022088 0.0 0.022902785 2.0 0.046891734 2.0 0.030530972 0.0 0.030695645 0.0 0.033513334 0.0 0.027932327 0.0 0.01353784 0.05084615899249911 0.05183870531618595 0.08329780399799347 0.05183870531618595 1
7055 174 8713 0 404.40036637234374 0.008697845973074436 86.11320886443573 1.896342192321068 40.12441516317702 -21.787853289944508 0.0 168.02666738281255 533.9878577142023 2.438934326171875 3.568427562713623 0.21957382356354174 0.3808686435222626 -1.3652805089950562 0.25 0.7183098793029785 1.209727135358744 0.42016775337694573 139.4190673828125 233.67699898953126 2.05806565284729 2.2031469345092773 2.3944852352142334 117.16840362548828 45.23204040527344 714.7000122070312 0.0 0.0 0.0 2.4236795274220277 1.7031797989086932 422.43456080089493 389.7307538197816 1696.8212890625 0 45.57796096801758 2.02822755217e+21 1.0 0.0 numu_other False 1 ccpi0 20.0 0.0 0.004569438 2.0 0.0029153146 0.0 0.0052880417 0.0 0.002519372 2.0 0.0031615354 0.0 0.0031578152 0.0 0.00409314 2.0 0.0042325463 0.0 0.0027829504 2.0 0.0026282645 2.0 0.0117264055 2.0 0.0025395174 0.0 0.0028298977 0.0 0.0034847518 0.0 0.009695593 2.0 0.0023896145 0.0 0.0040755575 0.0 0.0040739453 2.0 0.0046309116 2.0 0.006228428 0.004494726399166716 0.0031615353655070066 0.01172640547156334 0.0031615353655070066 1
