run subrun event vtxid Enu_1e1p Eta PT_1e1p AlphaT_1e1p SphB_1e1p PzEnu_1e1p ChargeNearTrunk Q0_1e1p Q3_1e1p Thetas Phis PTRat_1e1p Proton_ThetaReco Proton_PhiReco MinShrFrac MaxShrFrac BjXB_1e1p BjYB_1e1p Proton_Edep Electron_Edep Lepton_ThetaReco Lepton_PhiReco OpenAng Xreco Yreco Zreco MPIDY_muon MPIDY_proton MPIDY_eminus shower_fraction Shower_Consistency EnuQE_lepton EnuQE_proton EnuTrue ccnc scedr POTweight GenieWeight LEEweight label newpi0flag datarun filetag nBDTs tvweight0 sigprob0 tvweight1 sigprob1 tvweight2 sigprob2 tvweight3 sigprob3 tvweight4 sigprob4 tvweight5 sigprob5 tvweight6 sigprob6 tvweight7 sigprob7 tvweight8 sigprob8 tvweight9 sigprob9 tvweight10 sigprob10 tvweight11 sigprob11 tvweight12 sigprob12 tvweight13 sigprob13 tvweight14 sigprob14 tvweight15 sigprob15 tvweight16 sigprob16 tvweight17 sigprob17 tvweight18 sigprob18 tvweight19 sigprob19 sigprobavg sigprobmedian sigprobmax sigprob bdtweight
18957 528 26409 1 370.7391782684765 0.07895034551620483 194.9113388011129 2.601634487414616 192.37076669600927 94.5898419183606 269.0 211.73662832031246 605.2264531491284 2.8188741207122803 0.8583912253379822 0.3863445982798358 0.21726925671100616 -0.5745972394943237 0.0 0.7590821981430054 0.8538579519529447 0.5670232771314196 183.1290283203125 156.30584994816405 2.601604700088501 0.28379398584365845 2.4420039653778076 191.57269287109375 -6.351984977722168 398.04998779296875 0.044788096100091934 0.4691777229309082 0.9936227202415466 1.8876310394712623 0.18402165645792537 272.7798638266655 428.0903043380792 941.1527709960938 0 14.57925796508789 4.718886491725837e+22 1.2473424533723063 0.0 nue_ccqe False 3 intrinsics 20.0 1.0 0.40374464 1.0 0.46727544 1.0 0.6081186 1.0 0.7288687 1.0 0.48167816 1.0 0.26126403 1.0 0.3585262 1.0 0.287295 1.0 0.4209403 1.0 0.28085807 1.0 0.7166727 1.0 0.44873995 1.0 0.5134677 1.0 0.2764514 1.0 0.3518152 1.0 0.4373929 1.0 0.5690461 1.0 0.66981775 1.0 0.52868843 1.0 0.3778533 0.45942573100328443 0.44306641817092896 0.7288687229156494 0.7288687229156494 0.65
18957 406 20336 0 958.7897677142577 0.09085383266210556 270.2606664415906 2.619317851643065 326.0130293874145 -175.0179337459873 306.50518798828125 135.25574758300786 650.6595125405598 1.8766804933547974 2.795351982116699 0.3259847723922536 1.0431615114212036 0.2400536686182022 0.0 0.6761904954910278 1.569951862206333 0.23406665337549956 106.64814758300781 820.83732013125 0.833518922328949 3.0354056358337402 1.8371113538742065 124.2342758178711 85.42709350585938 213.9499969482422 0.14283545315265656 0.7832438945770264 0.9571915864944458 0.9852858635038311 1.203947285190244 1206.9930133113314 999.5930752747981 1671.7606201171875 0 4.912150859832764 4.718886491725837e+22 1.1312403857538693 0.0 nue_ccqe False 3 intrinsics 20.0 1.0 0.81508756 1.0 0.98737574 1.0 0.8576502 1.0 0.9561232 1.0 0.9757651 1.0 0.9346019 1.0 0.97239447 1.0 0.9271515 1.0 0.9811225 1.0 0.9641432 1.0 0.94194764 1.0 0.9395918 1.0 0.8914022 1.0 0.9759715 1.0 0.9735994 1.0 0.98564154 1.0 0.9789917 1.0 0.8962844 1.0 0.96558195 1.0 0.96306264 0.9441745072603226 0.9636029303073883 0.9873757362365723 0.9873757362365723 1.0000000000000002
18957 122 6131 0 661.1992558908202 0.13641470670700073 254.52720577205176 3.0200728829446075 369.93149893167174 193.18618828125113 632.681396484375 181.79896047363275 655.8579314533431 1.0757081508636475 2.8709592819213867 0.2855068915419839 0.20849454402923584 -2.2481634616851807 0.0 0.9848484992980957 0.7411315004830039 0.3375942464453867 153.1913604736328 476.7035954171875 0.8672136664390564 0.6227956414222717 1.0691678524017334 33.48310089111328 -48.566654205322266 841.0 0.019573090597987175 0.9622071981430054 0.9852049350738525 1.0642581728356588 0.19800874926359202 620.7828539682133 381.7623088525443 585.5089111328125 0 0.4635462760925293 4.718886491725837e+22 1.2529056255122732 0.476307 nue_ccqe False 3 intrinsics 20.0 0.0 0.94941354 0.0 0.90061563 2.0 0.871276 2.0 0.6377372 0.0 0.8920485 2.0 0.9293874 2.0 0.8766088 0.0 0.9108522 2.0 0.36405846 0.0 0.8257492 2.0 0.83602065 0.0 0.9053087 0.0 0.9419329 0.0 0.9308682 2.0 0.6934939 0.0 0.9663411 0.0 0.92447364 0.0 0.931567 0.0 0.92163414 2.0 0.7296695 0.7422814927995205 0.7828450798988342 0.9293873906135559 0.9293873906135559 0.7
18954 425 21259 1 576.4869547018358 0.12674202024936676 283.81378976225 0.15684439171720374 13240.957653849424 -116.93303205664131 393.8294677734375 207.03885915527337 358.776730751094 2.0648069381713867 3.2203917503356934 0.5254549016529725 1.1935946941375732 2.2788302898406982 0.0 0.6998284459114075 0.825391847969845 0.18785709985463203 178.43125915527344 366.7513955465625 0.8712123036384583 -0.9415614604949951 2.0623016357421875 201.813232421875 4.126922130584717 647.5 0.004937805235385895 0.9972817897796631 0.9963506460189819 1.422021983252902 0.9172598714359228 462.3487146290747 9881.666984422774 750.463623046875 0 1.0364643335342407 4.718886491725837e+22 1.214423594026026 0.152327 nue_ccqe False 3 intrinsics 20.0 1.0 0.8189734 1.0 0.67931753 1.0 0.4879869 1.0 0.52338016 1.0 0.9435596 1.0 0.8494371 1.0 0.8566077 1.0 0.78466326 1.0 0.9015813 1.0 0.75773036 1.0 0.8078181 1.0 0.8796465 1.0 0.78183764 1.0 0.93232304 1.0 0.7142809 1.0 0.720791 1.0 0.772731 1.0 0.800044 1.0 0.6950251 1.0 0.5127626 0.761024858057499 0.7832504510879517 0.9435595870018005 0.9435595870018005 1.0000000000000002
18954 277 13863 0 666.4776299403906 0.11351428925991058 471.1630961936835 2.6787153798327843 383.3834700972307 123.70066318696797 274.68731689453125 111.15127065429692 409.89897762482434 1.210721731185913 0.9487069845199585 0.5121409407828047 0.6993439793586731 -2.3845272064208984 0.0 1.0 0.6444681923298394 0.19646121794379823 82.54367065429688 552.6296592860938 0.51137775182724 -1.43582022190094 0.5530263185501099 227.49969482421875 -21.468198776245117 743.4000244140625 0.008406102657318115 0.03369155153632164 0.6687896251678467 1.0360330843546879 1.017403747225039 630.8354695779872 379.32651081918755 682.0999145507812 0 19.095247268676758 4.718886491725837e+22 1.13958356200786 0.152327 nue_ccqe False 3 intrinsics 20.0 1.0 0.9125757 1.0 0.8971931 1.0 0.8922333 1.0 0.9279186 1.0 0.9130093 1.0 0.82725525 1.0 0.7605006 1.0 0.83803165 1.0 0.8734545 1.0 0.92996097 1.0 0.93910205 1.0 0.73643255 1.0 0.8698314 1.0 0.91057545 1.0 0.75756675 1.0 0.9558873 1.0 0.9694434 1.0 0.894962 1.0 0.8838463 1.0 0.83031106 0.8760045617818832 0.8935976624488831 0.9694433808326721 0.9694433808326721 1.0000000000000002
18954 219 10968 0 304.5050409070117 0.37980157136917114 133.3858135947855 1.1590767240658038 126.77762319404741 -10.987781126401387 533.484375 123.46669271240242 388.78602343849866 2.519643783569336 2.6405632495880127 0.41372293914388764 0.628976583480835 1.708835482597351 0.0 0.8847736716270447 0.9940117516152428 0.37051853880498853 94.85909271240234 178.34164819460938 1.890667200088501 -0.9317277073860168 2.409985303878784 68.91333770751953 69.49222564697266 32.349998474121094 0.08324576914310455 0.9705693125724792 0.9049616456031799 1.1274527210067533 0.21978795481191668 279.7667335829251 379.18354651516484 848.9189453125 0 1.5330945253372192 4.718886491725837e+22 1.0 0.0 nue_other False 3 intrinsics 20.0 1.0 0.981384 1.0 0.9949509 1.0 0.9927983 1.0 0.99135345 1.0 0.99359256 1.0 0.99309325 1.0 0.9922409 1.0 0.9920407 1.0 0.9922426 1.0 0.9887411 1.0 0.98786163 1.0 0.995564 1.0 0.99350667 1.0 0.99382305 1.0 0.9965172 1.0 0.9929826 1.0 0.9914254 1.0 0.9908058 1.0 0.9943242 1.0 0.99516946 0.992220887541771 0.992890477180481 0.9965171813964844 0.9965171813964844 1.0000000000000002
18954 138 6927 2 948.9398350446484 0.28280600905418396 174.67696704281076 0.9072520635500858 6169.6353365358345 -76.0428563066879 461.9694519042969 173.74302175292985 426.3497561475982 1.7061892747879028 2.865224599838257 0.1962215240851656 1.196093201637268 -0.9780521392822266 0.0 0.9763593673706055 0.8466147700454862 0.12997715017016379 145.1354217529297 772.5001132917188 0.5100961327552795 1.8871724605560303 1.6888071298599243 109.92749786376953 -37.741336822509766 192.0500030517578 0.019441748037934303 0.9780201315879822 0.7700185179710388 1.0117989941657806 0.3877976746950756 898.8482011051914 5286.269313034396 1089.8424072265625 0 0.2858346402645111 4.718886491725837e+22 1.1255124547635038 0.0 nue_ccqe False 3 intrinsics 20.0 2.0 0.9959447 0.0 0.99685067 2.0 0.995706 0.0 0.99683183 2.0 0.99660504 0.0 0.99414635 2.0 0.99578923 2.0 0.99613094 2.0 0.99689984 0.0 0.995027 2.0 0.99530977 2.0 0.99488455 0.0 0.99757487 2.0 0.9970149 2.0 0.9878947 2.0 0.99743253 0.0 0.9934244 0.0 0.9953263 2.0 0.99689 0.0 0.996801 0.9955418507258097 0.9960378110408783 0.9974325299263 0.9974325299263 1.2
18954 113 5658 0 960.3675165877734 0.6470723748207092 260.74035474854765 2.2133665014805173 2359.10246499761 -103.13059016817601 872.5886840820312 102.40104177246099 464.1648742874931 1.7779630422592163 3.7652029991149902 0.2910003871977075 1.2291783094406128 2.285865306854248 0.0 0.7398648858070374 1.1304734285210691 0.1454552753644111 73.79344177246094 855.2697748153125 0.5487846732139587 -1.479337453842163 1.6842137575149536 147.45767211914062 -15.551468849182129 849.25 0.1962602585554123 0.6284734010696411 0.9786301255226135 0.38556102001133674 0.7073526320368044 1026.1121555684472 2660.405230396525 1826.3779296875 0 0.6357643604278564 4.718886491725837e+22 1.0989702894449138 0.0 nue_ccqe False 3 intrinsics 20.0 1.0 0.59910303 1.0 0.6826904 1.0 0.49456513 1.0 0.74065816 1.0 0.38863957 1.0 0.73449403 1.0 0.38532683 1.0 0.66372406 1.0 0.627401 1.0 0.33859214 1.0 0.4436526 1.0 0.8497622 1.0 0.35036334 1.0 0.5598776 1.0 0.62379754 1.0 0.75669414 1.0 0.4468261 1.0 0.6392518 1.0 0.70661205 1.0 0.591209 0.5811620354652405 0.6114502847194672 0.8497622013092041 0.8497622013092041 0.8000000000000002
18953 519 26000 1 1697.938553960625 0.007370848208665848 422.26903424715385 0.39336325299968816 2880.4705070311234 41.24824282202508 703.68798828125 289.21380117187505 431.8104702052364 1.252271294593811 3.390516757965088 0.2359419783542146 1.0760071277618408 -2.988224744796753 0.0 0.6274101138114929 0.06610397111570285 0.06924419282366123 260.606201171875 1406.02805278875 0.17626427114009857 0.40229204297065735 1.2472587823867798 73.36046600341797 41.22056579589844 318.04998779296875 0.11212848126888275 0.5665550827980042 0.9880132675170898 0.9081170441406446 0.7786392235767743 1470.3945745736785 3611.411732968173 2944.53076171875 0 0.9663955569267273 4.718886491725837e+22 1.0 0.0 nue_other False 3 intrinsics 20.0 1.0 0.3808114 1.0 0.38151297 1.0 0.42253092 1.0 0.51059973 1.0 0.16077788 1.0 0.24687043 1.0 0.22806005 1.0 0.14145921 1.0 0.2786834 1.0 0.45838225 1.0 0.7655449 1.0 0.28982604 1.0 0.39246875 1.0 0.68834203 1.0 0.45952985 1.0 0.354533 1.0 0.49512175 1.0 0.5704787 1.0 0.23345366 1.0 0.35143614 0.3905211500823498 0.3811621814966202 0.7655448913574219 0.7655448913574219 0.39999999999999997
18953 519 25979 0 191.91788978592766 0.4938161075115204 127.9317006966001 1.516247909818056 120.85745947504012 128.47233531295618 342.90863037109375 80.27568700561537 286.2639915428932 1.6345824003219604 2.253352642059326 0.37082989540094385 0.5485430955886841 0.3805583417415619 0.0 0.996688723564148 0.2612979883520001 0.39319406739965096 51.668087005615234 108.9455027803125 1.086039423942566 -1.872794270515442 1.4639892578125 136.59120178222656 -75.10626220703125 287.0 0.0 0.0 0.0 1.5297349368268571 1.6874564794993654 147.57876977197483 246.09487248175932 454.2210388183594 0 1.1347354650497437 4.718886491725837e+22 1.4135074228018816 0.754093 nue_ccqe False 3 intrinsics 20.0 1.0 0.8885237 1.0 0.74036956 1.0 0.9464705 1.0 0.89756995 1.0 0.7484334 1.0 0.91752136 1.0 0.91482925 1.0 0.9049597 1.0 0.9306211 1.0 0.91506356 1.0 0.83455443 1.0 0.8051339 1.0 0.84590125 1.0 0.9441882 1.0 0.95213085 1.0 0.8575965 1.0 0.93391794 1.0 0.4229606 1.0 0.9135078 1.0 0.9077243 0.8610988929867744 0.9063419997692108 0.9521308541297913 0.9521308541297913 1.0000000000000002
