run subrun event vtxid Enu_1e1p Eta PT_1e1p AlphaT_1e1p SphB_1e1p PzEnu_1e1p ChargeNearTrunk Q0_1e1p Q3_1e1p Thetas Phis PTRat_1e1p Proton_ThetaReco Proton_PhiReco MinShrFrac MaxShrFrac BjXB_1e1p BjYB_1e1p Proton_Edep Electron_Edep Lepton_ThetaReco Lepton_PhiReco OpenAng Xreco Yreco Zreco MPIDY_muon MPIDY_proton MPIDY_eminus shower_fraction Shower_Consistency EnuQE_lepton EnuQE_proton EnuTrue ccnc scedr POTweight GenieWeight LEEweight label newpi0flag datarun filetag nBDTs tvweight0 sigprob0 tvweight1 sigprob1 tvweight2 sigprob2 tvweight3 sigprob3 tvweight4 sigprob4 tvweight5 sigprob5 tvweight6 sigprob6 tvweight7 sigprob7 tvweight8 sigprob8 tvweight9 sigprob9 tvweight10 sigprob10 tvweight11 sigprob11 tvweight12 sigprob12 tvweight13 sigprob13 tvweight14 sigprob14 tvweight15 sigprob15 tvweight16 sigprob16 tvweight17 sigprob17 tvweight18 sigprob18 tvweight19 sigprob19 sigprobavg sigprobmedian sigprobmax sigprob bdtweight
5933 113 5651 2 576.7608148540429 0.1021709218621254 469.1197894717324 2.686609280650346 957.1309438845359 -251.12104105812762 529.2846069335938 140.70750692138677 599.0822925359284 2.2533481121063232 1.575605869293213 0.8214830491825552 0.4518316388130188 0.9189023375511169 0.4829806685447693 0.9545454382896423 2.225551639685131 0.3418591005521122 112.09990692138672 433.35660793265623 1.8015165328979492 -0.6567034721374512 1.7800958156585693 75.73674011230469 11.873778343200684 854.5499877929688 0.9393728375434875 0.16528649628162384 0.5145944356918335 1.954553342239607 1.6636210859146856 1116.5413446825114 357.2355542848442 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.004476792 1.0 0.011162247 1.0 0.0059363344 1.0 0.014580722 1.0 0.006373344 1.0 0.009568275 1.0 0.0034978113 1.0 0.0049806274 1.0 0.0039934237 1.0 0.007034668 1.0 0.008884357 1.0 0.0073797354 1.0 0.008531571 1.0 0.010633707 1.0 0.007969524 1.0 0.004411282 1.0 0.0043154624 1.0 0.01006928 1.0 0.0035920986 1.0 0.0043737087 0.007088248536456376 0.006704005878418684 0.014580721966922283 0.014580721966922283 1.0000000000000002
5933 88 4416 1 301.901746647832 0.14895440638065338 227.976429736045 0.4324796423985587 501.3098769122548 254.29712278942912 363.6826171875 223.36777761230462 565.7175047869072 2.1177966594696045 2.81622052192688 0.3792605549207476 0.48985806107521057 1.3272706270217896 0.15096774697303772 0.5 0.24388230194133834 0.7170355043481002 194.7601776123047 75.83726903552734 1.6279385089874268 -1.4889500141143799 2.0891854763031006 244.64694213867188 -54.98338317871094 520.4500122070312 0.8535650968551636 0.678638756275177 0.22873207926750183 1.7244614675336607 0.9830159270179686 115.20919233815115 524.0157902448814 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.041235317 1.0 0.06881763 1.0 0.033349942 1.0 0.032371 1.0 0.02410254 1.0 0.021845434 1.0 0.03484084 1.0 0.093307704 1.0 0.02878522 1.0 0.04658942 1.0 0.021254601 1.0 0.021098653 1.0 0.057748787 1.0 0.06888956 1.0 0.040793866 1.0 0.023567425 1.0 0.028616082 1.0 0.029963614 1.0 0.025078997 1.0 0.025881242 0.038406893610954285 0.031167306937277317 0.09330770373344421 0.09330770373344421 1.0000000000000002
5925 108 5413 1 252.67979665396476 0.12029260396957397 163.30340707621818 2.371491914283477 154.53277414070055 130.33499001148576 588.1259765625 132.5873744750976 451.27507416986947 2.322632074356079 1.4520723819732666 0.39220250516885635 0.25503984093666077 -2.4804723262786865 0.0 0.875 0.5992694070519704 0.5259733474121271 103.97977447509766 117.39572217886719 2.067592144012451 -1.0284000635147095 2.0207509994506836 23.555126190185547 -48.67287063598633 129.0500030517578 0.8315467834472656 0.25624725222587585 0.0657549798488617 4.638207663801511 1.1084617185210346 181.21882376693338 307.0058821935065 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.1189632 1.0 0.092089534 1.0 0.15167446 1.0 0.20805009 1.0 0.1021993 1.0 0.08020205 1.0 0.09178884 1.0 0.09830477 1.0 0.12214252 1.0 0.10200726 1.0 0.20759696 1.0 0.13743053 1.0 0.14706379 1.0 0.12539065 1.0 0.07270149 1.0 0.14043494 1.0 0.2096937 1.0 0.19515786 1.0 0.1664229 1.0 0.09694003 0.13331274427473544 0.12376658618450165 0.20969370007514954 0.20969370007514954 1.0000000000000002
5914 49 2467 0 373.6363100991406 0.3842197358608246 292.5132292087351 0.8574678417043767 614.892543322355 103.2305483642208 505.7509460449219 175.86216237792976 391.0394293996789 1.7759335041046143 2.5744426250457764 0.5228738707253631 0.8541548848152161 -0.0893748551607132 0.0 0.9790940880775452 0.31816430353756486 0.35034368878366706 147.2545623779297 195.07744772121094 0.9217785596847534 -2.6638174057006836 1.6806691884994507 194.77749633789062 -39.040374755859375 212.89999389648438 0.28107205033302307 0.9138226509094238 0.9617089033126831 2.673674153204636 0.6666332013083272 245.06797044802912 729.6485314622726 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.16852283 1.0 0.34749594 1.0 0.18040524 1.0 0.527543 1.0 0.3861876 1.0 0.27986908 1.0 0.22417307 1.0 0.22050309 1.0 0.2190643 1.0 0.16706242 1.0 0.19626355 1.0 0.15316597 1.0 0.33236322 1.0 0.3965822 1.0 0.20863448 1.0 0.35926396 1.0 0.29342407 1.0 0.6148768 1.0 0.31064513 1.0 0.13228059 0.2859163276851177 0.25202107429504395 0.6148768067359924 0.6148768067359924 1.0000000000000002
5895 36 1829 0 389.6268114502148 0.10140567272901535 143.153536880506 1.1510185162367277 661.0975980735786 421.69666144912475 431.9347839355469 346.3233897949218 819.8759351205073 1.9530880451202393 2.2178237438201904 0.1737603858587624 0.19746734201908112 -2.2505290508270264 0.0014367816038429737 0.21724137663841248 0.17789877866832257 0.8931956301233904 317.7157897949219 40.606721655292965 1.7556207180023193 -0.032705314457416534 1.8717728853225708 105.2889175415039 -88.16362762451172 300.54998779296875 0.7850680351257324 0.9706646203994751 0.007602986879646778 2.0870561712368634 1.3963372947054011 73.70331221011382 610.7023608658197 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.0013901585 1.0 0.0015914404 1.0 0.0010163051 1.0 0.0017072383 1.0 0.0012403203 1.0 0.0013106593 1.0 0.001133542 1.0 0.0008281817 1.0 0.001420585 1.0 0.0007857745 1.0 0.0009380441 1.0 0.0010617328 1.0 0.001477015 1.0 0.0009627793 1.0 0.0015597711 1.0 0.0014703549 1.0 0.0011293849 1.0 0.002791411 1.0 0.0010234803 1.0 0.00088922476 0.0012863701558671892 0.001186931156553328 0.0027914110105484724 0.0027914110105484724 1.0000000000000002
5783 130 6522 0 259.9962164061035 0.33054807782173157 347.6316835569855 1.6714469145141004 626.6048828728731 269.9489788455825 428.9722900390625 224.5118816162109 536.2894038067616 2.3054378032684326 1.5648412704467773 0.5484966825387074 0.5736731290817261 -2.084620714187622 0.0 0.9850746393203735 0.16056592166254896 0.8378793371784233 195.90428161621094 32.78763478989258 1.731764793395996 -0.5197793841362 1.7026039361953735 87.33999633789062 37.42966842651367 257.04998779296875 0.30293145775794983 0.9241117835044861 0.12264662235975266 6.657215991256252 1.215102036652428 64.68852852889883 571.8640689771107 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.00064434326 1.0 0.00067740114 1.0 0.0004893855 1.0 0.0010057986 1.0 0.00093104324 1.0 0.00068891526 1.0 0.00045238354 1.0 0.00050262123 1.0 0.00064634555 1.0 0.0006697754 1.0 0.0006832379 1.0 0.0005339101 1.0 0.0007185603 1.0 0.0004758629 1.0 0.0011052929 1.0 0.0009414335 1.0 0.00067747536 1.0 0.0024743858 1.0 0.0005716087 1.0 0.0004499474 0.0007669863814953714 0.0006735882780048996 0.002474385779350996 0.002474385779350996 1.0000000000000002
5778 24 1249 0 321.48992396718745 0.1404256522655487 408.2120502260437 0.744751810517772 852.8608015311778 187.44407362014556 777.198486328125 213.64710500488277 424.5283905274371 1.4020224809646606 3.7994792461395264 0.6256897592686813 0.8219597935676575 -2.5040030479431152 0.0 0.6984924674034119 0.053276911024550594 0.5421062290478711 185.0395050048828 105.14611896230468 0.580062747001648 1.2954760789871216 1.31629478931427 163.42355346679688 -89.89568328857422 680.4500122070312 0.16859786212444305 0.5532204508781433 0.06702258437871933 5.179817851760957 0.5185868811200723 136.9007542613088 810.6855816933238 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.0028053082 1.0 0.002344726 1.0 0.0023791725 1.0 0.004341065 1.0 0.0026983041 1.0 0.0026131992 1.0 0.0016260783 1.0 0.002005114 1.0 0.002867963 1.0 0.0026067346 1.0 0.0021792483 1.0 0.0025773125 1.0 0.0025264793 1.0 0.0027945386 1.0 0.004935519 1.0 0.002996391 1.0 0.002694802 1.0 0.007016964 1.0 0.001939554 1.0 0.001963826 0.0028956149355508385 0.0026099669048562646 0.007016963791102171 0.007016963791102171 1.0000000000000002
5774 74 3718 0 426.5953456664843 0.3233630657196045 81.8271275389538 0.9015150920309912 138.7243433432369 106.34419792093325 520.7398071289062 162.3179576660155 487.7789663024237 1.7566349506378174 3.3594868183135986 0.15176082359235626 0.6092797517776489 -2.506838321685791 0.0 0.3384615480899811 0.6122215025593507 0.35899992861177293 133.71035766601562 261.58068800046874 1.1473551988601685 0.8526486158370972 1.7440967559814453 92.28099822998047 -22.02704620361328 505.3999938964844 0.9050166010856628 0.1754976063966751 0.7012707591056824 1.4181388018740657 0.4256534697608615 350.1386129201252 460.74099211089003 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.24443926 1.0 0.6542923 1.0 0.25436825 1.0 0.2797166 1.0 0.0543801 1.0 0.42946687 1.0 0.585925 1.0 0.31555074 1.0 0.6859392 1.0 0.45146528 1.0 0.5350014 1.0 0.65263665 1.0 0.60829014 1.0 0.5368062 1.0 0.5386699 1.0 0.49088314 1.0 0.459251 1.0 0.5895001 1.0 0.54862595 1.0 0.2217179 0.45684629809111355 0.5129422694444656 0.6859391927719116 0.6859391927719116 1.0000000000000002
5765 82 4103 0 288.1398564417773 0.1418187916278839 335.3980507215445 2.785726004128686 504.1631642016014 268.7651546261534 726.0426025390625 224.04754140624993 574.8166850438862 2.2667465209960938 0.43080270290374756 0.5159145567482414 0.45521408319473267 -0.8455900549888611 0.0 0.4528301954269409 0.25957926088633254 0.7454068126889825 195.43994140625 61.39561503552734 1.8115324974060059 -0.41478732228279114 1.396083950996399 30.44182014465332 86.7931137084961 758.25 0.10315561294555664 0.9488313794136047 0.4276423752307892 2.2269629226762855 0.8815872509130438 98.88015621895183 510.09462767600115 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.0032199305 1.0 0.0057731178 1.0 0.0029391982 1.0 0.0041407757 1.0 0.0031397734 1.0 0.0028238317 1.0 0.0044808122 1.0 0.0040311357 1.0 0.004062491 1.0 0.0029383362 1.0 0.00417479 1.0 0.0037977574 1.0 0.0047148373 1.0 0.004385821 1.0 0.0067015965 1.0 0.00305802 1.0 0.0031148528 1.0 0.007949132 1.0 0.0041186824 1.0 0.0022369323 0.00409009117865935 0.004046813352033496 0.007949131540954113 0.007949131540954113 1.0000000000000002
5726 10 518 0 209.42680452849604 0.1384945511817932 400.88778860080157 0.9133833405344178 1176.4835967653569 81.72775528457603 450.4393005371094 161.1624858642579 288.67906015896114 2.423530101776123 3.970851421356201 0.8091201259044861 0.9857498407363892 1.3666410446166992 0.0 0.8785046935081482 0.14818735145480888 0.621299502012772 132.5548858642578 45.56761866423828 1.4377801418304443 -2.604210376739502 2.0770180225372314 246.1343994140625 95.30792236328125 520.0 0.35850077867507935 0.5376477241516113 0.16968244314193726 2.92461320157565 1.3002179373735416 78.1546582936608 967.8857164984471 -99998.0 -9999 -99998.0 4.403e+19 1.0 0.0 data False 1 data 20.0 1.0 0.0016373948 1.0 0.006219784 1.0 0.0032930407 1.0 0.0031463937 1.0 0.0026963763 1.0 0.0040227287 1.0 0.001481886 1.0 0.0026417596 1.0 0.0027805679 1.0 0.0020938395 1.0 0.0017487562 1.0 0.001894191 1.0 0.005223819 1.0 0.003929332 1.0 0.002703425 1.0 0.002966375 1.0 0.004402696 1.0 0.008900559 1.0 0.0020149376 1.0 0.0017235047 0.0032760683039668947 0.002741996431723237 0.008900558575987816 0.008900558575987816 1.0000000000000002
