run subrun event vtxid Enu_1e1p Eta PT_1e1p AlphaT_1e1p SphB_1e1p PzEnu_1e1p ChargeNearTrunk Q0_1e1p Q3_1e1p Thetas Phis PTRat_1e1p Proton_ThetaReco Proton_PhiReco MinShrFrac MaxShrFrac BjXB_1e1p BjYB_1e1p Proton_Edep Electron_Edep Lepton_ThetaReco Lepton_PhiReco OpenAng Xreco Yreco Zreco MPIDY_muon MPIDY_proton MPIDY_eminus shower_fraction Shower_Consistency EnuQE_lepton EnuQE_proton EnuTrue ccnc scedr POTweight GenieWeight LEEweight label newpi0flag datarun filetag cutLevel nBDTs tvweight0 sigprob0 tvweight1 sigprob1 tvweight2 sigprob2 tvweight3 sigprob3 tvweight4 sigprob4 tvweight5 sigprob5 tvweight6 sigprob6 tvweight7 sigprob7 tvweight8 sigprob8 tvweight9 sigprob9 tvweight10 sigprob10 tvweight11 sigprob11 tvweight12 sigprob12 tvweight13 sigprob13 tvweight14 sigprob14 tvweight15 sigprob15 tvweight16 sigprob16 tvweight17 sigprob17 tvweight18 sigprob18 tvweight19 sigprob19 sigprobavg sigprobmedian sigprobmax sigprob bdtweight
17561 58 2943 0 337.33105836287103 0.05697457119822502 59.579710940009086 0.4084995249074727 76.22577715795231 2.0180319399593714 352.75128173828125 144.55328634033202 457.03872685109917 2.5216853618621826 3.0370681285858154 0.17292557418724652 0.4911043047904968 3.057925224304199 1.0 1.0 1.0335022699329384 0.4116108389219371 115.94568634033203 190.08107202253908 2.030580997467041 0.020857075229287148 2.517726182937622 149.5789031982422 21.62877655029297 842.0499877929688 0.012620938010513783 0.010285819880664349 0.9071203470230103 1.3023259414092516 1.064195122857026 314.25371186098164 375.84996805887556 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.7828823 1.0 0.8977115 1.0 0.919686 1.0 0.88261104 1.0 0.8995831 1.0 0.7915881 1.0 0.9458462 1.0 0.9598836 1.0 0.8807324 1.0 0.707231 1.0 0.77545595 1.0 0.90668726 1.0 0.8115284 1.0 0.94602597 1.0 0.8739409 1.0 0.6336964 1.0 0.79681253 1.0 0.77355915 1.0 0.84747803 1.0 0.8916693 0.8462304532527923 0.8773366510868073 0.9598835706710815 0.8773366510868073 1
17560 96 4808 1 333.89568165324215 0.275787889957428 106.867173286208 0.5642899939080162 192.65420063091446 58.188444653855356 315.9553527832031 112.66776540527351 344.68157247040205 1.8551455736160278 2.9417898654937744 0.2629688478626282 0.7880351543426514 -2.4616191387176514 0.22910216450691223 0.708695650100708 0.575299946370944 0.28777114686998617 84.06016540527344 218.53121624796876 1.0671104192733765 0.4801708161830902 1.8422998189926147 89.9748764038086 2.615447998046875 396.3500061035156 0.44480934739112854 0.1813773810863495 0.35785332322120667 1.960824833333377 0.7729912174020344 282.9140072618756 437.27870591735154 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.041242834 1.0 0.038246673 1.0 0.013064506 1.0 0.09624281 1.0 0.05553763 1.0 0.1078418 1.0 0.02128988 1.0 0.022301435 1.0 0.09396943 1.0 0.026506264 1.0 0.01248893 1.0 0.02957108 1.0 0.03308256 1.0 0.009581709 1.0 0.07048385 1.0 0.05849346 1.0 0.020183494 1.0 0.07003789 1.0 0.017799363 1.0 0.026460104 0.043221284495666625 0.03132682014256716 0.10784179717302322 0.03132682014256716 1
17510 13 651 0 274.43290856806635 0.31067824363708496 144.30285454697503 1.4797869229624483 99.39911338067606 166.5729003599567 354.07122802734375 97.2787349487306 331.29649643892344 1.2840148210525513 3.97938871383667 0.31098782661091645 0.5573684573173523 2.8515806198120117 0.0 0.8303030133247375 0.21010881108310375 0.3269178677966718 68.67113494873047 174.45747361933593 0.726646363735199 -1.1278080940246582 1.1602059602737427 172.5267791748047 -80.86940002441406 272.3500061035156 0.9091982841491699 0.5321890711784363 0.9405887722969055 1.4663759230104914 1.2341203535791279 214.00509864124314 291.13863394226547 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.83290166 1.0 0.9074859 1.0 0.87691146 1.0 0.86175627 1.0 0.86433804 1.0 0.8362912 1.0 0.6798236 1.0 0.79722357 1.0 0.6975388 1.0 0.8238406 1.0 0.8450304 1.0 0.5583942 1.0 0.7806457 1.0 0.74132514 1.0 0.5085068 1.0 0.6870937 1.0 0.7870022 1.0 0.8862756 1.0 0.8923468 1.0 0.85068774 0.7857709676027298 0.8283711373806 0.9074859023094177 0.8283711373806 1
17510 9 453 3 361.43024528103507 0.17429807782173157 127.94302761660946 0.6430504463270643 258.0194952776015 -66.70899118287338 438.3836669921875 135.0023525024415 385.93599182322697 2.4762582778930664 2.9103546142578125 0.3982113041301526 0.8160563111305237 1.4210257530212402 0.3025435209274292 0.6625000238418579 1.1378911214219003 0.31503676654718676 106.3947525024414 223.73119277859374 1.660201907157898 -1.4893288612365723 2.445570945739746 199.84190368652344 87.00555419921875 465.3500061035156 0.0061292084865272045 0.028975946828722954 0.20536278188228607 2.609400361670707 1.4071621550329325 345.6626288589141 535.4820484162082 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.004159366 1.0 0.0071543097 1.0 0.0024691452 1.0 0.011223263 1.0 0.009486767 1.0 0.0021509698 1.0 0.0021088056 1.0 0.0021132194 1.0 0.0054520974 1.0 0.0026642785 1.0 0.004044574 1.0 0.0022813105 1.0 0.0024653513 1.0 0.002476995 1.0 0.004728481 1.0 0.004925791 1.0 0.0071808854 1.0 0.021153836 1.0 0.0032386621 1.0 0.004702276 0.005309019226115197 0.004101970000192523 0.021153835579752922 0.004101970000192523 1
17504 13 674 0 1498.8376937600779 0.3092398941516876 325.1901154659439 2.3237410913387944 823.1064951976364 247.50737545599532 327.8469543457031 427.43416860351545 1030.0302424186934 1.0456105470657349 2.5587620735168457 0.18306500351092544 0.46965935826301575 0.45954227447509766 0.0 0.9726651310920715 1.0205651064370649 0.3178486344602639 398.8265686035156 1068.7068251565624 0.5759511590003967 -2.099219799041748 0.9979008436203003 83.87539672851562 -69.46562194824219 135.3000030517578 0.7658964395523071 0.012441477738320827 0.7848376631736755 0.8031501556540503 0.133295934213006 1354.6120641100056 858.2608281523221 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.9894511 1.0 0.9837953 1.0 0.92240393 1.0 0.9718408 1.0 0.9892224 1.0 0.9727552 1.0 0.9907007 1.0 0.9554163 1.0 0.9766774 1.0 0.96879846 1.0 0.99021006 1.0 0.9867887 1.0 0.9798441 1.0 0.9868085 1.0 0.9654247 1.0 0.95395327 1.0 0.97121316 1.0 0.9527179 1.0 0.9797507 1.0 0.99239904 0.9740085870027542 0.9782140552997589 0.9923990368843079 0.9782140552997589 1
17503 52 2635 2 743.7261935048436 0.003527262946590781 19.07556988920155 1.9270939725177478 710.428059391826 480.75278517660513 457.55035400390625 513.2604015136718 1070.7344153917074 0.9029466509819031 3.023484706878662 0.015576629664411147 0.14235162734985352 -2.1089940071105957 0.07894736528396606 0.28958332538604736 0.15019890506848285 0.6918160979677441 484.6528015136719 227.76909199117188 0.7605950236320496 0.9144906401634216 0.9020786285400391 163.1827392578125 -61.50966262817383 254.75 0.6193379759788513 0.5661571621894836 0.6333211660385132 2.2799636411836 1.107462200580798 276.00250718889606 806.9837349886055 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.0078485 1.0 0.0069589727 1.0 0.01375022 1.0 0.010576335 1.0 0.008979508 1.0 0.0053734984 1.0 0.0051559997 1.0 0.005985602 1.0 0.006528543 1.0 0.008487032 1.0 0.005586438 1.0 0.017064583 1.0 0.007707749 1.0 0.0071778498 1.0 0.005619954 1.0 0.0065544304 1.0 0.002999626 1.0 0.019728592 1.0 0.004679752 1.0 0.0077171167 0.008224014984443783 0.007068411214277148 0.019728591665625572 0.007068411214277148 1
17497 107 5368 3 284.5547327015234 0.14457643032073975 103.26435879853277 0.2434847547940825 220.464582987851 119.97143186710832 318.5664978027344 137.63260915527334 420.65608862372176 2.062264919281006 3.040208101272583 0.24734070701416727 0.5567441582679749 -0.942031979560852 0.0 1.0 0.5005772392280761 0.4492907067748927 109.02500915527344 144.22542354625 1.5055208206176758 2.0981762409210205 2.0591962337493896 243.6459197998047 -83.23542785644531 325.95001220703125 0.009590845555067062 0.05109337344765663 0.6992130875587463 1.8943693826868169 0.7702599993172733 203.65687993991148 383.36803824281446 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.038975187 1.0 0.041569315 1.0 0.22280733 1.0 0.24505442 1.0 0.2828751 1.0 0.116782755 1.0 0.1496146 1.0 0.032779448 1.0 0.08052867 1.0 0.16828321 1.0 0.101741396 1.0 0.01668421 1.0 0.113571495 1.0 0.033388924 1.0 0.019861287 1.0 0.0416291 1.0 0.09580314 1.0 0.36500496 1.0 0.07037173 1.0 0.042796735 0.11400615032762289 0.08816590532660484 0.3650049567222595 0.08816590532660484 1
17489 152 7638 1 618.577611058828 0.17060638964176178 278.5735811465316 0.2371059470306571 645.612253391242 294.08767930507884 356.5721435546875 365.70962026367187 756.7998544917969 1.3389372825622559 3.2865090370178223 0.29193446086354624 0.5519869923591614 2.425092935562134 0.0 0.3489583432674408 0.1589415162460985 0.5508639773730006 337.1020202636719 250.17129079515624 0.7869503498077393 -0.8614163398742676 1.3349356651306152 146.82345581054688 0.15134599804878235 107.8499984741211 0.7345413565635681 0.9284445643424988 0.8702544569969177 2.0247551844024105 1.152278175357193 303.93958658891574 827.5368755926585 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.0052696737 1.0 0.0076959524 1.0 0.015045865 1.0 0.013585594 1.0 0.011168163 1.0 0.004608656 1.0 0.009498464 1.0 0.0030286699 1.0 0.007216935 1.0 0.0056027975 1.0 0.0059591024 1.0 0.0063801818 1.0 0.009231119 1.0 0.0051180227 1.0 0.01767295 1.0 0.0068953726 1.0 0.007342649 1.0 0.012150553 1.0 0.012077032 1.0 0.0064282524 0.008598800306208432 0.0072797921020537615 0.0176729504019022 0.0072797921020537615 1
17481 10 526 1 353.0555104586328 0.3195822238922119 80.65927845189856 0.49726464245267576 240.33962615148343 137.91015449340978 420.7805480957031 189.69376638183599 547.2562295067129 2.1939549446105957 2.97493052482605 0.16211382668394406 0.41656097769737244 0.45629212260246277 0.0912698432803154 0.46900826692581177 0.6053598611438124 0.5231086155991187 161.08616638183594 160.66504407679687 1.7773938179016113 -2.5186383724212646 2.187213897705078 154.74835205078125 -33.6236457824707 794.9500122070312 0.9632647037506104 0.364827424287796 0.05048998072743416 1.8781491455553303 1.938668035581265 241.32685950039559 436.90195537896017 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.043487936 1.0 0.01730642 1.0 0.01868491 1.0 0.05449514 1.0 0.06021761 1.0 0.09060962 1.0 0.03178959 1.0 0.019744378 1.0 0.048199188 1.0 0.022225393 1.0 0.021862524 1.0 0.02294485 1.0 0.029548442 1.0 0.045832545 1.0 0.027742578 1.0 0.030768346 1.0 0.042786818 1.0 0.043096423 1.0 0.025641765 1.0 0.027812028 0.03623982518911362 0.030158394016325474 0.09060961753129959 0.030158394016325474 1
17435 14 704 2 327.58704919529293 0.20002737641334534 209.84119949955 0.40651794514842104 306.6917581615674 -64.2588708629271 555.9644775390625 153.92288472900398 394.371909237737 2.9871888160705566 3.3907318115234375 0.6232065339585 0.73643958568573 -0.26124832034111023 0.0 0.22713863849639893 1.1464132247172314 0.38412200297443927 125.3152847290039 170.96746446628907 2.250749111175537 3.129483461380005 2.9043002128601074 65.3294448852539 -47.63364028930664 691.8499755859375 0.968522846698761 0.9755870699882507 0.2455204576253891 1.162548302537954 0.34929154056562467 288.73353944957955 522.3978280261421 -99998.0 -9999 -99998.0 6.388153e+20 1.0 0.0 data False 1 data 0 20.0 1.0 0.50036824 1.0 0.7320386 1.0 0.8788635 1.0 0.63926333 1.0 0.4078158 1.0 0.755325 1.0 0.6117163 1.0 0.55686367 1.0 0.5393945 1.0 0.80486345 1.0 0.6827445 1.0 0.47779313 1.0 0.8572999 1.0 0.695111 1.0 0.31728932 1.0 0.4583488 1.0 0.4700728 1.0 0.705309 1.0 0.53184485 1.0 0.33632067 0.5979323193430901 0.5842899680137634 0.878863513469696 0.5842899680137634 1
