run subrun event vtxid Enu_1e1p Eta PT_1e1p AlphaT_1e1p SphB_1e1p PzEnu_1e1p ChargeNearTrunk Q0_1e1p Q3_1e1p Thetas Phis PTRat_1e1p Proton_ThetaReco Proton_PhiReco MinShrFrac MaxShrFrac BjXB_1e1p BjYB_1e1p Proton_Edep Electron_Edep Lepton_ThetaReco Lepton_PhiReco OpenAng Xreco Yreco Zreco MPIDY_muon MPIDY_proton MPIDY_eminus shower_fraction Shower_Consistency EnuQE_lepton EnuQE_proton EnuTrue ccnc scedr POTweight GenieWeight LEEweight label newpi0flag datarun filetag cutLevel nBDTs tvweight0 sigprob0 tvweight1 sigprob1 tvweight2 sigprob2 tvweight3 sigprob3 tvweight4 sigprob4 tvweight5 sigprob5 tvweight6 sigprob6 tvweight7 sigprob7 tvweight8 sigprob8 tvweight9 sigprob9 tvweight10 sigprob10 tvweight11 sigprob11 tvweight12 sigprob12 tvweight13 sigprob13 tvweight14 sigprob14 tvweight15 sigprob15 tvweight16 sigprob16 tvweight17 sigprob17 tvweight18 sigprob18 tvweight19 sigprob19 sigprobavg sigprobmedian sigprobmax sigprob bdtweight
18960 51 2580 5 527.0383154574608 0.13393619656562805 148.51172110568433 0.490490748113805 387.8606221584796 124.5821415300993 366.9404602050781 347.4897411132814 808.9647294237596 2.8843767642974854 2.8364288806915283 0.2222131691850025 0.28192684054374695 0.19026963412761688 0.1632503718137741 0.95652174949646 0.8029035143794194 0.6537959201475033 318.88214111328125 176.8518743441797 2.602449893951416 3.026698589324951 2.8595998287200928 71.80431365966797 51.152099609375 498.8500061035156 0.9294933676719666 0.9897768497467041 0.0044303881004452705 1.9437468234691202 0.32327164068783176 322.96234313603037 634.7208081522415 1634.554931640625 1 13.430004119873047 8.881929714164049e+20 1.0 0.0 numu_other False 3 overlay 0 20.0 2.0 0.02339427 0.0 0.038355343 2.0 0.01948685 0.0 0.013941433 2.0 0.03225206 2.0 0.018076042 2.0 0.029516941 2.0 0.028576545 2.0 0.030403571 2.0 0.034184426 2.0 0.06590932 2.0 0.015031668 2.0 0.02707748 2.0 0.034356903 2.0 0.050291717 2.0 0.017004842 2.0 0.033623554 2.0 0.05600241 2.0 0.06586277 2.0 0.04304845 0.03467221170042952 0.03132781479507685 0.06590931862592697 0.03132781479507685 1
18957 19 953 1 520.9534950678124 0.001311279833316803 7.701825250378207 2.8151620474390207 368.56136586686387 243.51722779847955 448.5072937011719 316.68480947265635 791.6417081328192 1.824686884880066 3.1288561820983887 0.010074204521549814 0.24921748042106628 -2.9960503578186035 0.0 0.7843137383460999 0.5200681938981774 0.6106993659338603 288.07720947265625 201.57198559515624 1.5754693746566772 0.13280579447746277 1.824666142463684 203.34349060058594 1.5762170553207397 948.9500122070312 0.8104344606399536 0.0828096941113472 0.6065539121627808 2.888630494612015 0.37284113626968846 296.9802616740918 583.0235738675507 2196.9619140625 0 1.220093846321106 8.881929714164049e+20 1.3689647803840317 0.0 numu_other False 3 overlay 0 20.0 2.0 0.041221455 2.0 0.02552795 0.0 0.041978177 2.0 0.024098005 2.0 0.01729579 2.0 0.019662807 0.0 0.033515636 2.0 0.029630518 0.0 0.021172253 2.0 0.033874486 2.0 0.024220712 2.0 0.019466292 2.0 0.026722163 0.0 0.02297583 2.0 0.017960986 2.0 0.024652665 2.0 0.041151814 0.0 0.031071223 2.0 0.02876884 2.0 0.022937031 0.0264794343461593 0.024652665480971336 0.04122145473957062 0.024652665480971336 1
18954 373 18697 1 396.6201782283398 0.02630072645843029 286.50861325585714 3.0421275418863822 231.06588488719837 -54.35212392589136 551.542724609375 134.54222371826177 511.4926528963388 2.1452889442443848 0.5109549760818481 0.6418821438399751 0.12729398906230927 -0.4403184950351715 0.0 0.75 1.4271528365345039 0.38509799803542555 105.93462371826172 259.3812545100781 2.0179948806762695 -0.9512734413146973 1.906142234802246 227.96409606933594 19.011085510253906 563.6500244140625 0.044053055346012115 0.07664262503385544 0.7641774415969849 1.6549447050943586 0.3208647376045767 488.2740483560475 299.6346570871694 553.5226440429688 0 18.89344596862793 8.881929714164049e+20 3.496248077817619 0.0 numu_mec False 3 overlay 0 20.0 2.0 0.3619112 2.0 0.16903639 0.0 0.19515732 0.0 0.07731264 0.0 0.0925053 2.0 0.4274114 2.0 0.33789572 0.0 0.125097 2.0 0.16996911 2.0 0.24482685 0.0 0.07760719 0.0 0.16133372 0.0 0.08319365 2.0 0.3213941 2.0 0.23246568 0.0 0.1756836 2.0 0.2125441 0.0 0.24582094 0.0 0.07139829 0.0 0.075243995 0.27527272866831887 0.24482685327529907 0.42741140723228455 0.24482685327529907 1
18954 334 16736 0 365.72878145101555 0.028777895495295525 363.23112023706943 1.1240429705156627 7474.856327843634 -0.17206783866811293 390.72991943359375 120.00484731445323 154.72301744939293 1.5686160326004028 4.092912673950195 0.7048467843521168 1.2484062910079956 3.0040977001190186 0.0 1.0 0.08748063897786597 0.1429435067414431 91.39724731445312 243.0272341365625 0.3202097415924072 -1.0888148546218872 1.443060040473938 224.2115936279297 25.805313110351562 992.3499755859375 0.7220962643623352 0.9672789573669434 0.943368136882782 1.9436099603656425 1.1529831749222657 275.935486346096 5605.781654382896 1562.8453369140625 1 1.7256150245666504 3.377491971416405e+21 0.445946622251854 0.0 numu_pi0 True 3 overlay 0 20.0 2.0 0.01687063 2.0 0.0603837 0.0 0.024264483 2.0 0.026342511 0.0 0.049892478 2.0 0.084695384 0.0 0.032125935 2.0 0.031660806 2.0 0.032668088 2.0 0.05757522 0.0 0.045593083 2.0 0.048808653 2.0 0.06253202 0.0 0.04662393 0.0 0.021861881 2.0 0.025058521 0.0 0.05629262 0.0 0.052389048 2.0 0.036211368 2.0 0.0455601 0.04403058346360922 0.04088573344051838 0.08469538390636444 0.04088573344051838 1
18954 317 15862 0 441.33299439253904 0.15490461885929108 309.6088832137945 2.035795610222665 966.1009669683101 -429.8089374874329 280.7388000488281 118.21055104980474 331.8227433068166 3.527071237564087 1.4564865827560425 0.9993080049459567 0.7255343198776245 -2.4537341594696045 0.0 0.730434775352478 3.994207001826578 0.2141575782156348 89.60295104980469 320.4257433427344 2.801536798477173 -0.9972475171089172 2.3186404705047607 128.63804626464844 62.17837905883789 152.25 0.006099501624703407 0.997992753982544 0.0033760988153517246 3.101824906877123 1.5914781152146564 1110.167129976504 413.5743955574138 1810.6429443359375 0 38.37617492675781 8.881929714164049e+20 1.1257180699980498 0.0 numu_other False 3 overlay 0 20.0 2.0 0.016132139 2.0 0.010583848 0.0 0.042833026 0.0 0.015257445 0.0 0.026195133 2.0 0.06900755 0.0 0.012776673 0.0 0.030742897 0.0 0.015303667 2.0 0.019917969 0.0 0.03432047 2.0 0.013149011 2.0 0.02350628 2.0 0.04548742 0.0 0.018398535 2.0 0.022772606 0.0 0.030291863 2.0 0.04622516 0.0 0.028724281 2.0 0.04758803 0.031437001656740904 0.02313944324851036 0.06900755316019058 0.02313944324851036 1
18954 147 7363 0 482.2165326964843 0.1713184267282486 648.3861862601572 2.8635923104432397 799.209343867902 -9.058428329379808 371.3678894042969 305.382746484375 593.09609413263 2.929572343826294 0.35340359807014465 0.8077841684522113 0.7286728024482727 -0.4921906888484955 0.0 0.9905660152435303 0.9371792466872285 0.5451624070806231 276.775146484375 174.13708621210938 2.200899600982666 -0.8455942869186401 1.5055888891220093 122.427001953125 -87.97080993652344 840.8499755859375 0.3804982304573059 0.034855082631111145 0.03679608926177025 1.1646024111327709 0.9157439097097518 292.4993265026898 928.0734961578258 928.051025390625 1 43.09630584716797 8.881929714164049e+20 1.0 0.0 numu_pipm False 3 overlay 0 20.0 2.0 0.17371231 2.0 0.21551216 2.0 0.1888659 2.0 0.14746875 2.0 0.5892288 2.0 0.26057455 2.0 0.079347394 2.0 0.72897255 2.0 0.20688726 2.0 0.103442505 2.0 0.8109372 2.0 0.61525667 2.0 0.1496312 2.0 0.5452725 2.0 0.3007138 0.0 0.070615195 2.0 0.22779907 0.0 0.17375804 2.0 0.6307487 0.0 0.14057356 0.351433610653176 0.22779907286167145 0.810937225818634 0.22779907286167145 1
18948 151 7553 0 359.7825358345703 0.2531726062297821 360.9630847240221 0.3307365923369542 914.6057291148809 -9.698355522847635 191.94326782226562 220.74170949707036 428.2225557249818 2.888064384460449 2.894336223602295 0.7178413838595982 0.8625370264053345 -2.059175968170166 0.0 0.8461538553237915 0.6863111814883938 0.4759224105544498 192.1341094970703 136.3441263375 2.0255274772644043 0.8351603746414185 2.815441846847534 142.6674041748047 53.27793502807617 206.8000030517578 0.010359387844800949 0.30740535259246826 0.6490786671638489 1.8030543920856064 0.7455853853620836 211.21092198648935 919.2921821395774 794.9879760742188 1 20.997453689575195 3.377491971416405e+21 0.8763655962206238 0.0 numu_pi0 True 3 overlay 0 20.0 2.0 0.2593038 0.0 0.07504076 2.0 0.09048133 0.0 0.07376828 0.0 0.040655352 2.0 0.15368995 0.0 0.09234337 0.0 0.08822897 0.0 0.07808301 0.0 0.050657827 2.0 0.13326797 2.0 0.20245911 0.0 0.08535437 0.0 0.08210818 2.0 0.18368828 0.0 0.08735808 2.0 0.23730402 2.0 0.16765046 0.0 0.05502543 0.0 0.06848446 0.17848061677068472 0.1756693720817566 0.2593038082122803 0.1756693720817566 1
18947 120 6028 0 353.5837062154687 0.13934104144573212 205.44048026742848 1.8125018853322892 236.02046802989045 207.51226826418753 383.58349609375 178.059504296875 525.9828134613693 1.6423152685165405 2.086909770965576 0.3438198447093588 0.42983314394950867 2.4409470558166504 0.0 0.800000011920929 0.3787199550625786 0.48912078356016553 149.451904296875 172.82750191859375 1.212482213973999 0.35403722524642944 1.4442551136016846 154.421630859375 79.05773162841797 295.8500061035156 0.1434670090675354 0.9193205833435059 0.9693552255630493 1.4723956060103431 0.794126131518005 230.4869788268184 420.44183551965784 670.4404296875 0 0.9435000419616699 1.479535971416405e+21 0.9348817102128648 0.0 numu_pi0 True 3 overlay 0 20.0 0.0 0.30525765 2.0 0.90021956 2.0 0.8572113 2.0 0.81376034 0.0 0.417886 0.0 0.14831772 2.0 0.77691144 0.0 0.2718533 0.0 0.24115673 0.0 0.32406875 2.0 0.7756323 2.0 0.892965 2.0 0.8641553 2.0 0.47803795 0.0 0.36534667 0.0 0.29106164 2.0 0.67890406 2.0 0.5546465 2.0 0.73290557 2.0 0.8244539 0.7624836017688116 0.7953358888626099 0.9002195596694946 0.7953358888626099 1
18944 35 1784 2 937.0864532142186 0.072065569460392 85.41641675438625 1.4269681550353417 662.9811593483283 436.7977621467187 510.6747131347656 560.8895824218748 1126.5451646521983 0.9887319207191467 3.45068621635437 0.062051672974845595 0.2478915899991989 2.1750741004943848 0.008849557489156723 0.5520581007003784 0.22506210151642014 0.5985818893534592 532.281982421875 373.50017079234374 0.7408403754234314 -1.2756121158599854 0.9793079495429993 35.70685577392578 -67.76466369628906 679.5499877929688 0.5035025477409363 0.1031283363699913 0.037862833589315414 1.0774711224872262 0.6900720856823632 451.2627531152004 900.9438178510383 4545.0556640625 0 1.0040416717529297 1.479535971416405e+21 0.7812772769741556 0.0 numu_pi0 True 3 overlay 0 20.0 2.0 0.024589596 2.0 0.118473954 0.0 0.04174191 2.0 0.03849487 2.0 0.051510464 0.0 0.020177288 0.0 0.039469555 2.0 0.054795988 2.0 0.078411855 2.0 0.018275278 0.0 0.028043903 2.0 0.066275895 2.0 0.070306405 0.0 0.044214394 2.0 0.042430807 2.0 0.06314714 2.0 0.033078857 2.0 0.0677924 2.0 0.038451534 2.0 0.0409788 0.05380092312892278 0.051510464400053024 0.11847395449876785 0.051510464400053024 1
18935 326 16348 3 747.81042182416 0.3079722821712494 181.23624629266928 1.2852103884683297 159.06171387470806 78.65034313286651 154.69561767578125 114.66287496337895 335.0400443678534 1.3254966735839844 3.6900670528411865 0.21420210717028687 0.9464436173439026 1.0721343755722046 0.5151515007019043 0.5151515007019043 0.44714837567765875 0.11901268428963477 86.0552749633789 630.4508468607812 0.3790530860424042 -2.6179325580596924 1.2798234224319458 231.36239624023438 61.15876388549805 743.6500244140625 0.6635639667510986 0.11028695106506348 0.9843806028366089 1.6834622609412024 0.9500452491684506 693.7482430869014 618.513624454191 1025.1536865234375 0 1.256587266921997 1.479535971416405e+21 1.3884026268824918 0.0 numu_pi0 True 3 overlay 0 20.0 2.0 0.0154338535 2.0 0.009089525 2.0 0.020805933 0.0 0.0037720932 2.0 0.016454201 0.0 0.012507013 0.0 0.029306676 2.0 0.008767913 2.0 0.01744649 2.0 0.011703693 0.0 0.014688471 0.0 0.0052419417 0.0 0.01097659 2.0 0.01650416 0.0 0.012744024 0.0 0.0077843694 0.0 0.010304191 0.0 0.010550654 0.0 0.010796494 2.0 0.01839862 0.014956043101847172 0.016454201191663742 0.020805932581424713 0.016454201191663742 1
