[run,subrun,event,newhaspi0]
[14121,177,8864,1.0]
[14121,220,11021,1.0]
[14121,226,11350,1.0]
[14121,239,11973,1.0]
[14121,239,11975,1.0]
[14121,218,10933,1.0]
[14121,230,11502,1.0]
[14123,13,665,1.0]
[14123,43,2167,1.0]
[14123,57,2860,1.0]
[14123,117,5873,1.0]
[14123,117,5889,1.0]
[14123,117,5894,1.0]
[14123,117,5900,1.0]
[14151,33,1674,1.0]
[14550,69,3460,1.0]
[14550,69,3476,1.0]
[14550,69,3483,1.0]
[14550,242,12110,1.0]
[14550,248,12424,1.0]
[17337,20,1015,1.0]
[17337,20,1017,1.0]
[17337,28,1446,1.0]
[17337,34,1701,1.0]
[17337,34,1720,1.0]
[17337,34,1721,1.0]
[17337,60,3041,1.0]
[17337,3,167,1.0]
[17337,3,176,1.0]
[17337,3,197,1.0]
[17337,48,2427,1.0]
[17337,50,2518,1.0]
[17337,23,1171,1.0]
[17337,27,1353,1.0]
[17337,30,1515,1.0]
[17337,30,1542,1.0]
[17337,71,3573,1.0]
[17337,71,3574,1.0]
[17338,3,181,1.0]
[17338,31,1552,1.0]
[17338,31,1581,1.0]
[17338,113,5693,1.0]
[17338,21,1087,1.0]
[17338,52,2610,1.0]
[17338,52,2621,1.0]
[17338,20,1050,1.0]
[17338,58,2910,1.0]
[17338,84,4250,1.0]
[17338,16,827,1.0]
[17338,16,850,1.0]
[17338,17,864,1.0]
[17338,17,900,1.0]
[17338,57,2852,1.0]
[17338,57,2869,1.0]
[17338,103,5157,1.0]
[17338,103,5177,1.0]
[17338,103,5197,1.0]
[17338,106,5348,1.0]
[17338,50,2507,1.0]
[17338,5,252,1.0]
[17338,5,274,1.0]
[17338,72,3640,1.0]
[17338,76,3805,1.0]
[17338,76,3810,1.0]
[17338,76,3837,1.0]
[17338,87,4354,1.0]
[17338,87,4372,1.0]
[17338,91,4563,1.0]
[17338,91,4567,1.0]
[17338,100,5007,1.0]
[17338,100,5030,1.0]
[17338,100,5042,1.0]
[14550,81,4068,1.0]
[14550,119,5955,1.0]
[14550,119,5990,1.0]
[14550,271,13555,1.0]
[17338,99,4983,1.0]
[17338,99,4998,1.0]
[17338,34,1711,1.0]
[17338,65,3256,1.0]
[17338,65,3264,1.0]
[17338,65,3266,1.0]
[17338,7,381,1.0]
[17338,27,1379,1.0]
[17338,63,3170,1.0]
[17338,63,3176,1.0]
[17338,74,3728,1.0]
[17338,74,3738,1.0]
[17338,74,3743,1.0]
[17338,74,3745,1.0]
[17338,68,3419,1.0]
[17338,90,4502,1.0]
[17338,90,4507,1.0]
[17338,107,5375,1.0]
[17338,13,676,1.0]
[17338,41,2055,1.0]
[17338,61,3075,1.0]
[17338,83,4157,1.0]
[17338,83,4184,1.0]
[17339,116,5805,1.0]
[17339,116,5823,1.0]
[17339,116,5842,1.0]
[17339,117,5883,1.0]
[17339,117,5889,1.0]
[17339,137,6890,1.0]
[17339,247,12368,1.0]
[17339,247,12372,1.0]
[17339,247,12394,1.0]
[17339,247,12400,1.0]
[17339,297,14873,1.0]
[17339,297,14898,1.0]
[17339,22,1119,1.0]
[17339,22,1146,1.0]
[17339,97,4877,1.0]
[17339,97,4880,1.0]
[17339,144,7232,1.0]
[17339,145,7267,1.0]
[17339,145,7271,1.0]
[17339,135,6754,1.0]
[17339,135,6757,1.0]
[17339,183,9151,1.0]
[17339,183,9162,1.0]
[17339,120,6025,1.0]
[17339,128,6432,1.0]
[17339,215,10798,1.0]
[17339,224,11224,1.0]
[17339,13,658,1.0]
[17339,13,683,1.0]
[17339,114,5731,1.0]
[17339,118,5906,1.0]
[14550,70,3505,1.0]
[14550,70,3509,1.0]
[14550,70,3511,1.0]
[14550,70,3518,1.0]
[14550,70,3526,1.0]
[14550,70,3548,1.0]
[14550,93,4660,1.0]
[14550,94,4702,1.0]
[14550,94,4722,1.0]
[14550,94,4726,1.0]
[14550,94,4732,1.0]
[14550,101,5068,1.0]
[14550,101,5070,1.0]
[14550,195,9762,1.0]
[14550,195,9794,1.0]
